id,cidade,numero,bairro,rua,uf
9041971899,Cavalcanti,94,Luxemburgo,Estrada Anna Liz Nascimento,ES
9016336998,Aparecida,2,Beija Flor,Setor Joaquim Pimenta,RO
4162753189,Porto das Flores,2,Urca,Via de Marques,SC
3625682026,Câmara de Viana,1,Vila Paris,Avenida de Peixoto,RN
9552548672,Lopes,26,Vila Formosa,Esplanada de Viana,AM
9077294413,Fernandes do Galho,5,Camponesa 2ª Seção,Conjunto Nina Aragão,TO
2537114305,Rezende,70,Vila Formosa,Área de Duarte,RS
2655638872,Rodrigues de Albuquerque,43,Mariquinhas,Favela de Fernandes,PR
1645974078,Freitas Verde,63,Bom Jesus,Largo Teixeira,RN
582625933,Pinto do Amparo,37,Barreiro,Jardim de Sá,AP
2324509987,Rios,49,Vila Santa Monica 1ª Seção,Núcleo Pimenta,ES
1931567345,Cunha de Goiás,78,São Gonçalo,Estação Joana Marques,SE
1096789404,Machado da Praia,91,São Salvador,Quadra Fonseca,MG
1035590993,Machado,36,Nazare,Rodovia de Cassiano,SP
2270903281,Lima,66,Vila São Gabriel,Jardim Câmara,PE
5254613295,Alves,1,Vila Copacabana,Aeroporto Carlos Eduardo Carvalho,ES
1443654437,Azevedo de Goiás,25,Brasil Industrial,Alameda Albuquerque,RS
8931381576,Azevedo,68,Indaiá,Campo de Casa Grande,RO
7456511383,Monteiro,80,Betânia,Lago Luiz Felipe Câmara,SP
4655554328,da Mota,85,Ápia,Praia Lívia Araújo,RN
7752703583,Pereira de Minas,69,Pilar,Praça Lucas Porto,PA
8375288024,da Luz,77,São Francisco,Parque Garcia,RJ
1351840973,Marques,57,Parque São Pedro,Morro Moura,SE
8982130965,Aparecida Paulista,1,Cidade Jardim Taquaril,Via da Costa,TO
5234170153,Fernandes do Norte,3,Maria Goretti,Condomínio Vargas,SC
2547757586,da Rosa de Barros,2,Marçola,Travessa de Garcia,DF
5583565469,da Cunha,86,Álvaro Camargos,Praça de Pimenta,RO
443167936,Farias,95,Corumbiara,Travessa de Pinto,PB
7152602232,Nascimento dos Dourados,56,Tres Marias,Jardim Elisa Novaes,DF
1418653333,Brito,68,Vila Ecológica,Largo Lara da Luz,MT
8888398602,Abreu,73,Bandeirantes,Residencial de Santos,CE
5640542581,Borges,33,Outro,Praia Gonçalves,RJ
7203770070,Oliveira de Rezende,15,Universo,Rua Esther Mendes,PR
3701085402,Caldeira,35,Coração Eucarístico,Alameda de das Neves,PA
1218622626,Moraes,77,Atila De Paiva,Avenida Antonella Alves,PE
5800786530,Alves da Prata,82,Lourdes,Favela de Siqueira,MA
8574093972,Jesus de Porto,57,Santa Inês,Travessa Nogueira,RR
7086110786,Gomes de Goiás,96,Vila Piratininga,Largo de Sampaio,AP
185392294,Casa Grande das Pedras,18,Gutierrez,Morro Fernando Pinto,RN
5529919693,Dias Alegre,595,Camponesa 1ª Seção,Trecho Montenegro,PE
4962479883,Moreira da Mata,1,Granja De Freitas,Largo Almeida,BA
764693940,da Mota da Praia,12,Vila Nova Gameleira 1ª Seção,Praia de Carvalho,CE
2226014913,Teixeira de Vieira,687,Jaqueline,Sítio Maria Luiza Correia,MG
3882858434,Nunes de Santos,77,Baleia,Estação Vitor Gabriel Azevedo,DF
9713061149,Nunes,980,Alto Caiçaras,Setor Martins,PA
529244328,Câmara,50,Castanheira,Via Lopes,RS
216833136,Rocha,65,Vila Esplanada,Feira Cavalcante,RN
711204344,Cirino,885,Vila Piratininga,Rua Ana Lívia Farias,TO
5031238927,Melo do Sul,983,Maravilha,Morro Dias,DF
7765811949,da Rosa das Flores,9,Maria Helena,Travessa de Moraes,AL
8616352998,Garcia de Minas,99,São Benedito,Vila Maria Clara Nunes,SE
6069207533,Novaes,446,Aarão Reis,Campo Cassiano,AC
9136699104,Camargo das Flores,70,Vila São Rafael,Quadra Eloá Vargas,PI
4063932130,Vieira,66,Nova America,Via Gael Henrique Rezende,ES
8554988862,Lopes de Dias,28,Bairro Das Indústrias Ii,Distrito Isabela Ribeiro,AL
2092492189,Oliveira,18,Conjunto Califórnia I,Rodovia Cassiano,MA
7342146067,Nunes,5,Vila Cemig,Feira Sales,MS
9129112119,Cassiano Paulista,22,Esplanada,Sítio de da Mata,RO
2688391820,Mendonça,27,Saudade,Estação Jesus,PB
6177944959,Jesus,55,Pousada Santo Antonio,Ladeira Jesus,BA
8094791852,Gomes do Amparo,77,Vila Madre Gertrudes 1ª Seção,Área de Martins,MA
2103495385,Pereira,54,Marieta 3ª Seção,Favela Albuquerque,PA
7011692382,Monteiro,7,Vila Da Paz,Quadra de Moraes,RS
4752141984,Leão,68,Ápia,Lago Brito,MA
3439483254,Sá de Costela,908,Trevo,Sítio Luiz Fernando Pacheco,MS
7710024107,da Cunha da Praia,3,Baleia,Quadra de Silva,SC
3156567207,Fernandes,559,Silveira,Chácara de Camargo,SP
5513554948,Santos dos Dourados,87,Vila Jardim Montanhes,Aeroporto de Santos,PB
5043705239,Ferreira,81,Etelvina Carneiro,Trevo Carlos Eduardo Jesus,ES
4489617259,Montenegro da Praia,6,Atila De Paiva,Esplanada Beatriz Vargas,AP
7008191034,Aparecida de Siqueira,125,Novo São Lucas,Esplanada de Melo,RN
741031654,Rios,98,Engenho Nogueira,Vereda Pastor,SP
9658905435,Teixeira do Galho,224,Ipe,Lagoa de da Luz,SC
3841704014,Fonseca do Norte,20,Marilandia,Fazenda de Rocha,SC
4663788078,Duarte,98,Lagoa,Viaduto Mateus Borges,GO
2934149541,Alves,50,Vila Rica,Viaduto Melo,DF
9325526107,Vasconcelos das Flores,34,Vitoria Da Conquista,Praça Mendonça,DF
8797813718,Sousa,437,Salgado Filho,Travessa Dom Vasconcelos,AC
1172150725,Novaes,4,Vila Satélite,Fazenda Isaque Pastor,ES
6035982211,Araújo Alegre,4,Dom Bosco,Núcleo Alexandre Gonçalves,GO
5600366485,Rodrigues Verde,50,Inconfidência,Vila Leão,RR
2259078003,Rodrigues do Campo,83,São José,Vila de Lima,GO
4255408137,Ramos,114,Aparecida 7ª Seção,Rua Alexandre Pastor,RR
5784244039,Cavalcanti,96,Alto Das Antenas,Setor de Monteiro,RN
9287525829,Sá,8,Jardim Montanhês,Estrada Luiz Gustavo Viana,BA
2552375356,Martins,8,Guaratã,Recanto de Mendes,RN
8814826810,Novais,3,Jardim Leblon,Morro Alves,SE
5330742197,da Costa do Oeste,71,Jatobá,Passarela da Conceição,AL
1339334942,Moraes dos Dourados,8,Gutierrez,Estrada de Jesus,PB
157784244,Pastor do Campo,351,Beija Flor,Ladeira de da Conceição,MG
8623181918,Jesus,35,Horto,Sítio Laura Fogaça,AM
385252439,Lima de Costa,887,Coração De Jesus,Condomínio Siqueira,ES
1549280994,Albuquerque,777,Boa Viagem,Praça Valentina Aragão,PR
7985312844,Rezende das Pedras,7,Dom Bosco,Estação de Nunes,SE
7794354758,Costa dos Dourados,7,Maravilha,Trevo da Luz,DF
4551008742,Rezende,14,São Gonçalo,Largo Machado,RN
3464324629,Vargas,7,São Lucas,Avenida Nascimento,PA
4724233043,Andrade,674,Santana Do Cafezal,Esplanada Mathias Campos,SE
4688310350,Farias,81,Vila São Dimas,Alameda de Montenegro,RR
9582265722,Sampaio da Mata,506,Vila São Gabriel Jacui,Trecho Leão,RN
6946924886,da Mota,29,Minas Caixa,Estação Gabriel Nunes,AM
175828579,Porto da Mata,638,Braúnas,Favela Viana,RR
5708570410,Montenegro Alegre,48,União,Parque de Pastor,MG
7261834699,Peixoto,6,Zilah Sposito,Fazenda de Ferreira,MG
3242429895,Pinto do Sul,61,Vila Vista Alegre,Lago de Moraes,GO
6698629440,das Neves do Amparo,376,Vila Batik,Rodovia Gonçalves,AM
1164486897,Sá,1,Vila Sumaré,Feira da Conceição,MG
5856538117,da Mata dos Dourados,60,Itatiaia,Morro de da Rosa,GO
6384493102,Sales,86,Nova America,Residencial Oliveira,MT
5675349466,Ferreira,83,Cidade Jardim Taquaril,Praia João Felipe da Mota,RO
8969433856,Monteiro,6,Itaipu,Campo Maria Eduarda Novais,RJ
8425464478,Câmara de Albuquerque,76,Vila Real 2ª Seção,Chácara de Rocha,RN
9498127836,da Luz da Praia,72,Tres Marias,Favela de Teixeira,MA
9188103518,Castro,481,Milionario,Feira Rodrigues,AM
8728380238,Melo do Oeste,479,Apolonia,Área Aragão,RN
3078354425,Peixoto,6,Novo Tupi,Residencial Ester da Conceição,BA
487431985,Viana dos Dourados,32,Santa Terezinha,Estação Santos,RR
8321197417,da Rocha,5,Vila Copasa,Vereda Moura,SE
2170506877,Novaes Grande,36,Pindura Saia,Parque das Neves,MG
3229674618,Camargo,78,Penha,Jardim de Vieira,RJ
3496608757,Pinto da Praia,168,Alto Caiçaras,Viela Ana Júlia da Rocha,RO
9661258101,Gomes de da Paz,7,Chácara Leonina,Núcleo de Porto,CE
6708349173,Costa do Galho,47,São Sebastião,Esplanada de Novaes,MS
6870506093,da Cruz de Almeida,11,São Jorge 1ª Seção,Vereda Cecília Martins,PE
8909389654,Souza de Santos,410,Cenaculo,Chácara Gabriela Alves,MG
8953677878,Silva dos Dourados,6,Laranjeiras,Parque de Cavalcanti,PI
5314427517,Duarte,608,Mangueiras,Viela Azevedo,SC
7187240393,Lima,851,Minas Caixa,Lago Sabrina Pereira,AC
1708720785,Câmara Paulista,30,São Lucas,Avenida Cirino,RN
2865988753,Novais,287,Vila Barragem Santa Lúcia,Loteamento de Farias,SP
978991654,Jesus,37,Bairro Das Indústrias Ii,Sítio de Martins,GO
2425606591,Lima,93,Tupi A,Colônia Anna Liz Pinto,PR
2888213340,Albuquerque de Nogueira,845,Alto Vera Cruz,Via da Paz,RO
9147582988,Cardoso,49,Concórdia,Avenida Marina Gomes,AP
6994806579,Nunes,94,Madre Gertrudes,Condomínio Nascimento,PB
6127557082,da Paz de Goiás,48,Vila Paquetá,Estrada de da Rosa,AL
5497346466,da Mota do Oeste,59,Fernão Dias,Lago Isabela Vieira,AP
1110361528,Lopes do Amparo,87,Vila Sesc,Quadra de Duarte,AC
8840421813,Mendes do Norte,61,Vila Independencia 1ª Seção,Jardim Rhavi Ferreira,RR
7460735997,da Rocha Verde,45,Conjunto Minas Caixa,Trecho Abreu,ES
7659002743,Camargo de Guerra,39,Dona Clara,Setor Pinto,SP
9030301619,Cavalcante da Serra,870,Vila Das Oliveiras,Parque Lucca Peixoto,DF
2066664131,Pereira,79,Vila Nova Cachoeirinha 3ª Seção,Recanto Kamilly Vieira,DF
9911469833,Nascimento,88,São Bernardo,Viela Gomes,MS
8046735312,Jesus,90,Nova Granada,Área Leonardo Sampaio,PB
5098493262,Pires,9,Vila Santa Monica 1ª Seção,Rua Pacheco,RJ
9714821502,Dias,49,Cruzeiro,Via Nascimento,AP
8876633352,Ribeiro do Sul,98,Confisco,Passarela da Conceição,AL
4423187659,Castro de Sousa,81,Nova Cintra,Lagoa Luan Duarte,AC
1348888471,Cirino da Praia,2,Alta Tensão 2ª Seção,Viaduto Santos,RS
2997330335,Sales de da Mota,835,Distrito Industrial Do Jatoba,Feira Diego Silva,SC
7820353703,Pimenta de Goiás,587,Canaa,Viela Machado,RJ
213838499,Gomes,5,Jaqueline,Conjunto de Cavalcante,PE
2701762404,Peixoto,62,Olhos D'água,Fazenda de da Conceição,RR
7215363328,Camargo,2,Santo Antônio,Vereda Lorenzo da Cruz,MS
9829977708,Aragão de Porto,818,Vila Santo Antônio,Vereda de Cavalcanti,PR
4169735940,Peixoto,14,Vila Independencia 2ª Seção,Vila de Camargo,PI
4575073622,Araújo,749,Jonas Veiga,Fazenda de Moraes,PA
9860059557,da Luz,5,João Alfredo,Passarela de Oliveira,AL
7799708172,Barros do Oeste,26,Monte São José,Esplanada Alves,ES
3502136062,Cassiano do Norte,14,Vila Piratininga Venda Nova,Residencial Almeida,PR
4973513837,Lopes das Pedras,59,Capitão Eduardo,Aeroporto Gustavo da Cunha,GO
33140181,Lopes de Minas,17,Dom Cabral,Conjunto Montenegro,PI
6120130352,Barros Alegre,6,Paulo Vi,Praça Monteiro,SE
2431295805,Andrade,88,São Francisco,Feira de Cardoso,PI
1138125901,Sousa do Amparo,240,Vila Nova,Setor Lucca Rios,RJ
9380327164,Jesus de Câmara,3,Santa Monica,Condomínio Raquel Camargo,BA
5324371813,Vargas do Norte,7,Vila Olhos D'água,Setor Ana Cecília da Mota,MS
9926809615,Novais de da Mata,40,Outro,Chácara Novaes,MS
7934373925,Macedo,3,Vila Boa Vista,Colônia Manuela Brito,RJ
8918249409,Barros,894,Pedreira Padro Lopes,Condomínio de Sousa,PA
7793935749,Siqueira,62,Capitão Eduardo,Rua Augusto Leão,RO
3652062674,da Cruz de Novaes,38,Cidade Jardim,Distrito João Sampaio,MT
8376562978,Guerra de das Neves,71,Jardim Atlântico,Núcleo Machado,SE
1396977256,Sá,5,Andiroba,Estação Porto,RR
3627151476,Jesus,561,Corumbiara,Trecho Maria Helena Barbosa,AP
6681850363,Montenegro de Melo,18,Fernão Dias,Condomínio de da Mata,AP
7998512331,Cavalcanti do Sul,66,São Bernardo,Estrada Freitas,MA
2521854205,da Paz de Viana,87,Olaria,Avenida Pietro Ribeiro,GO
4131199589,Correia Alegre,759,Vila Fumec,Setor Guerra,SE
2746916163,Lopes,7,Santa Cruz,Trevo de Andrade,AL
2116533138,Montenegro da Praia,33,Esperança,Condomínio Viana,AM
9738244401,Fernandes de Minas,702,Confisco,Quadra de da Cunha,PA
636477471,Fogaça,170,Maria Tereza,Parque Elisa Sales,RO
1489072606,Martins de Barbosa,5,Vila Paquetá,Morro de Gonçalves,GO
3223285031,Pastor Grande,80,Vila Piratininga,Passarela Camargo,MA
1865058072,Souza,619,Ribeiro De Abreu,Rua Alves,CE
9536420615,Costa,81,Vila Olhos D'água,Vereda Siqueira,ES
8167357174,da Paz de Borges,6,Vila Engenho Nogueira,Recanto de Brito,MS
9450420660,Borges,4,Carlos Prates,Vale Laura Farias,SP
6433547220,Sousa de Minas,31,Salgado Filho,Lagoa das Neves,AP
1999799081,Correia,73,Acaba Mundo,Aeroporto Farias,MS
7156485750,Jesus,6,Anchieta,Residencial Ferreira,ES
711733651,Martins,247,Renascença,Estrada de Moura,PI
4223319787,Cavalcante,9,Santa Rita,Lagoa de da Mota,DF
3349122952,Sousa Paulista,9,São Jorge 2ª Seção,Lago Ribeiro,PB
6359341705,Duarte,84,Laranjeiras,Vale Isabela Gomes,RJ
971030543,da Mata,33,Coração De Jesus,Favela Marina Montenegro,ES
2135244929,Melo,951,Vila Ipiranga,Praça de Novais,RO
1211929035,Aragão Alegre,369,São Bernardo,Campo Freitas,RN
1585356323,da Cruz,73,São Gabriel,Distrito Barbosa,RS
250208828,Teixeira Paulista,2,Vila Ipiranga,Praça de Aragão,MA
6240431872,Câmara,80,Nova America,Viaduto Melo,MA
7796640228,Cardoso,68,Nova America,Setor de Vasconcelos,SC
7182358905,Albuquerque da Prata,690,Esplanada,Lago Camargo,AC
9967413463,Gonçalves de Goiás,312,Vila Independencia 2ª Seção,Recanto Yasmin Câmara,RO
7149061160,Borges do Campo,29,Jardim Montanhês,Distrito Novais,AL
252703250,Ferreira Grande,60,Conjunto Minas Caixa,Viela Borges,TO
2457926307,Garcia,6,Santa Sofia,Condomínio Barros,MS
5105820084,Alves,48,Nova America,Avenida de Cunha,DF
115107144,Borges,34,Vila Jardim Montanhes,Passarela Enzo Gabriel Porto,BA
8383022031,Leão,37,Universo,Aeroporto de Almeida,RR
8851364399,Rezende de Fernandes,20,Nossa Senhora Da Aparecida,Largo de Andrade,DF
7840005812,Barros de Alves,40,Rio Branco,Travessa de da Rocha,PE
6470930725,Abreu das Flores,22,Bairro Das Indústrias Ii,Viela de Araújo,SP
6543406419,Sousa das Flores,10,Sagrada Família,Ladeira Anna Liz Casa Grande,RO
862341690,Albuquerque do Norte,14,Paulo Vi,Alameda de Duarte,TO
82217966,Costa de Guerra,957,Boa Vista,Aeroporto Léo da Rosa,SP
2743884376,Moraes,73,Barreiro,Feira da Paz,RR
334797714,Macedo do Sul,45,Conjunto Jardim Filadélfia,Vale Pastor,MA
4583356517,Novais,22,Vila São Dimas,Fazenda Fonseca,PI
2910570937,Costela do Galho,320,São Pedro,Passarela de Novais,AP
4873482728,Leão de Rios,5,Horto Florestal,Morro de Machado,ES
7190032336,Lopes do Norte,98,Carlos Prates,Estação de Guerra,AC
1952192755,Oliveira,11,Vila Suzana Primeira Seção,Rua Maria Laura da Cunha,AC
198831290,Ramos da Prata,47,Universo,Colônia de Albuquerque,PA
8463381711,Martins,85,Santo Agostinho,Morro Bruna Silveira,PE
4801307929,Pires das Flores,359,Juliana,Conjunto Cavalcante,MA
1008706816,Macedo,48,Coração Eucarístico,Sítio Casa Grande,MT
2055992687,Siqueira dos Dourados,41,Ipiranga,Pátio de Gonçalves,AP
7550290856,Ferreira do Oeste,827,Venda Nova,Núcleo Fogaça,PR
7739322189,da Mata,74,Dom Silverio,Estrada de Garcia,PI
7071526104,Vieira de Farias,736,Jardinópolis,Rua Thiago Nunes,SE
5856362292,Macedo,96,Vila Da Ária,Feira de Moura,AP
1930134662,Vargas,80,Vila Esplanada,Vereda Ramos,PE
8911449589,Marques de Barbosa,184,Universitário,Lagoa de Duarte,RN
9213893724,Pimenta do Oeste,93,Dona Clara,Trevo Fogaça,AM
5063813811,Moreira da Praia,46,Cidade Jardim,Esplanada de Oliveira,TO
3411125850,da Cruz,73,Vila Barragem Santa Lúcia,Parque de Rocha,BA
9927763296,Novaes de Sales,123,Pindorama,Loteamento Gustavo Pires,AM
3114871799,Fonseca,41,Bairro Das Indústrias Ii,Aeroporto de Oliveira,MT
1022618629,Carvalho de Viana,231,Baleia,Rodovia Lopes,TO
9629705502,Correia dos Dourados,36,Jardim Montanhês,Estação de Duarte,PE
3676739818,Novaes do Amparo,55,Europa,Núcleo de Monteiro,RS
6628701094,Fogaça Verde,1,Solimoes,Conjunto Mariane Lima,GO
248203636,Pastor de Vieira,479,Milionario,Colônia de Nogueira,DF
2247871358,Fogaça,19,Colégio Batista,Morro Barros,RN
6872070354,Mendes de Goiás,478,Jardim Alvorada,Quadra Ana Lívia Souza,SC
8742302754,Marques,48,Jaraguá,Setor Mariana Nunes,SC
