id,nome,sobrenome,email,dataAdmissao,cargo
80088,Gustavo Almeida,Monteiro,gustavomonteiro@nomeEmpresa.com,2015-02-13,Vendedor Externo
80089,Lorenzo Pastor,Lima,pastorlima@nomeEmpresa.com,2005-11-27,Vendedor Interno
80090,Ana Lívia,Pastor,anapastor@nomeEmpresa.com,2009-10-29,Telemarketing
80091,José Pedro,Pacheco,josepacheco@nomeEmpresa.com,2021-11-11,Vendedor Interno
80092,Esther Dias,Cunha,diascunha@nomeEmpresa.com,2022-04-22,Vendedor Interno
80093,Liam Novaes,Guerra,novaesguerra@nomeEmpresa.com,2017-06-28,Vendedor Interno
80094,Isadora Aparecida,Costa,aparecidacosta@nomeEmpresa.com,2022-08-14,Vendedor Externo
80095,Kevin Ramos,Camargo,kevincamargo@nomeEmpresa.com,2008-04-05,Vendedor Externo
80096,Gabriel Campos,Silveira,gabrielsilveira@nomeEmpresa.com,2018-09-30,Telemarketing
80097,Daniel Pires,Rezende,piresrezende@nomeEmpresa.com,2023-03-10,Telemarketing
80098,Renan Leão,Porto,leaoporto@nomeEmpresa.com,2021-11-15,Telemarketing
80099,Júlia Machado,Porto,juliaporto@nomeEmpresa.com,2005-11-29,Vendedor Externo
80100,Sarah Montenegro,Rosa,montenegrorosa@nomeEmpresa.com,2018-08-04,Vendedor Interno
80101,Rhavi Alves,Duarte,alvesduarte@nomeEmpresa.com,2007-08-13,Vendedor Externo
80102,Laura Campos,Brito,laurabrito@nomeEmpresa.com,2005-12-05,Telemarketing
80103,Larissa Fernandes,Melo,fernandesmelo@nomeEmpresa.com,2023-09-23,Vendedor Externo
80104,Laura Pimenta,Carvalho,pimentacarvalho@nomeEmpresa.com,2022-07-31,Promotor de Vendas
80105,Gabriel Cavalcanti,Paz,gabrielpaz@nomeEmpresa.com,2022-06-20,Vendedor Externo
80106,Lucca Correia,Novaes,correianovaes@nomeEmpresa.com,2014-01-26,Vendedor Interno
80107,Gabriel da,Cunha,gabrielcunha@nomeEmpresa.com,2007-09-03,Promotor de Vendas
80108,Cauê Ribeiro,Alves,cauealves@nomeEmpresa.com,2015-05-21,Vendedor Externo
80109,Eduardo Pimenta,Fogaça,eduardofogaca@nomeEmpresa.com,2006-12-17,Vendedor Externo
80110,Mariane da,Farias,marianefarias@nomeEmpresa.com,2017-03-30,Vendedor Interno
80111,Gabriel Cavalcanti,Rodrigues,gabrielrodrigues@nomeEmpresa.com,2009-11-19,Vendedor Externo
80112,Sara Ramos,Rocha,ramosrocha@nomeEmpresa.com,2010-10-24,Vendedor Externo
80113,Antônio Dias,Barbosa,diasbarbosa@nomeEmpresa.com,2023-10-10,Telemarketing
80114,Gabriel Peixoto,Pimenta,gabrielpimenta@nomeEmpresa.com,2024-03-18,Vendedor Externo
80115,Antonella Farias,Ramos,fariasramos@nomeEmpresa.com,2017-11-09,Vendedor Externo
80116,Maria Camargo,Costa,camargocosta@nomeEmpresa.com,2021-04-29,Vendedor Externo
80117,Gabriel Fogaça,Nogueira,fogacanogueira@nomeEmpresa.com,2008-09-29,Telemarketing
80118,Julia Freitas,Barbosa,juliabarbosa@nomeEmpresa.com,2017-12-29,Vendedor Interno
80119,Luiza Silva,Cavalcanti,luizacavalcanti@nomeEmpresa.com,2009-12-01,Promotor de Vendas
80120,Marcos Vinicius,Novais,marcosnovais@nomeEmpresa.com,2018-01-12,Vendedor Externo
80121,Liz Alves,Mata,alvesmata@nomeEmpresa.com,2006-06-27,Telemarketing
80122,Bianca Rocha,Fernandes,rochafernandes@nomeEmpresa.com,2006-04-15,Telemarketing
80123,Cauê Ramos,Silva,ramossilva@nomeEmpresa.com,2022-12-28,Telemarketing
80124,Cecília Araújo,Mata,ceciliamata@nomeEmpresa.com,2018-12-15,Vendedor Interno
80125,Erick Azevedo,Viana,azevedoviana@nomeEmpresa.com,2015-12-01,Vendedor Interno
80126,Anthony Pimenta,Dias,pimentadias@nomeEmpresa.com,2014-10-18,Vendedor Externo
80127,Isadora Azevedo,Nascimento,azevedonascimento@nomeEmpresa.com,2013-07-15,Vendedor Interno
80128,da Cruz,Sampaio,dasampaio@nomeEmpresa.com,2008-07-22,Telemarketing
80129,Felipe Martins,Pacheco,felipepacheco@nomeEmpresa.com,2021-06-20,Telemarketing
80130,das Neves,Costa,dascosta@nomeEmpresa.com,2012-08-14,Promotor de Vendas
80131,Diogo Farias,Sousa,fariassousa@nomeEmpresa.com,2015-04-23,Vendedor Interno
80132,Ana Clara,Alves,anaalves@nomeEmpresa.com,2009-07-10,Vendedor Interno
80133,Caleb Pastor,Cassiano,pastorcassiano@nomeEmpresa.com,2018-09-25,Telemarketing
80134,Alana Duarte,Cavalcanti,duartecavalcanti@nomeEmpresa.com,2017-04-13,Promotor de Vendas
80135,Olívia Costela,Ribeiro,costelaribeiro@nomeEmpresa.com,2018-08-11,Vendedor Interno
80136,Maria Lopes,Cassiano,lopescassiano@nomeEmpresa.com,2014-02-14,Telemarketing
80137,Caio Caldeira,Caldeira,caldeiracaldeira@nomeEmpresa.com,2017-06-12,Vendedor Interno
80138,Kaique Montenegro,Moreira,montenegromoreira@nomeEmpresa.com,2012-02-10,Vendedor Interno
80139,Bento Cavalcanti,Borges,cavalcantiborges@nomeEmpresa.com,2020-06-22,Vendedor Interno
80140,Cecilia Câmara,Nunes,camaranunes@nomeEmpresa.com,2018-03-19,Telemarketing
80141,Oliver Vargas,Caldeira,vargascaldeira@nomeEmpresa.com,2019-03-16,Vendedor Interno
80142,da Paz,Mata,damata@nomeEmpresa.com,2006-06-14,Vendedor Interno
80143,Pedro Miguel,Moraes,pedromoraes@nomeEmpresa.com,2017-04-15,Vendedor Externo
80144,Isabel Cavalcanti,Oliveira,cavalcantioliveira@nomeEmpresa.com,2019-12-09,Telemarketing
80145,Pedro Câmara,Nascimento,camaranascimento@nomeEmpresa.com,2014-06-08,Promotor de Vendas
80146,Sophia Aparecida,Pimenta,sophiapimenta@nomeEmpresa.com,2021-08-20,Vendedor Interno
80147,da Costa,Neves,daneves@nomeEmpresa.com,2016-04-27,Vendedor Interno
80148,da Cruz,Peixoto,dapeixoto@nomeEmpresa.com,2009-10-21,Telemarketing
80149,Helena Nogueira,Sá,helenasa@nomeEmpresa.com,2013-06-19,Telemarketing
80150,Otávio Barros,Ferreira,otavioferreira@nomeEmpresa.com,2018-07-22,Vendedor Interno
80151,Gabriel Siqueira,Rocha,gabrielrocha@nomeEmpresa.com,2019-08-09,Telemarketing
80152,Rodrigo Cunha,Porto,cunhaporto@nomeEmpresa.com,2022-05-11,Telemarketing
80153,da Paz,Câmara,dacamara@nomeEmpresa.com,2022-05-05,Vendedor Externo
80154,Vitor Ferreira,Viana,vitorviana@nomeEmpresa.com,2015-01-05,Vendedor Interno
80155,Yago Barros,Lopes,barroslopes@nomeEmpresa.com,2015-04-03,Promotor de Vendas
80156,Sabrina Gomes,Pereira,sabrinapereira@nomeEmpresa.com,2013-02-08,Promotor de Vendas
80157,Isaac Moraes,Pacheco,moraespacheco@nomeEmpresa.com,2010-09-22,Vendedor Interno
80158,Luana Cardoso,Gomes,cardosogomes@nomeEmpresa.com,2015-09-18,Vendedor Interno
80159,Thomas Pinto,Gonçalves,pintogoncalves@nomeEmpresa.com,2017-11-03,Telemarketing
80160,Rodrigo Freitas,Cunha,freitascunha@nomeEmpresa.com,2022-01-10,Promotor de Vendas
80161,Thiago Caldeira,Lopes,caldeiralopes@nomeEmpresa.com,2007-03-29,Vendedor Externo
80162,Vitor Melo,Mata,vitormata@nomeEmpresa.com,2005-12-30,Vendedor Externo
80163,Cauê Castro,Mendes,castromendes@nomeEmpresa.com,2010-07-06,Vendedor Interno
80164,Rafael Fonseca,Silva,fonsecasilva@nomeEmpresa.com,2014-03-18,Consultor de Vendas
80165,Liz Cirino,Rocha,lizrocha@nomeEmpresa.com,2009-03-29,Vendedor Interno
80166,Davi Miguel,Viana,daviviana@nomeEmpresa.com,2016-09-05,Vendedor Interno
80167,Marcela Câmara,Oliveira,camaraoliveira@nomeEmpresa.com,2024-02-29,Consultor de Vendas
80168,Clara Brito,Fonseca,britofonseca@nomeEmpresa.com,2014-01-12,Vendedor Interno
80169,Erick da,Novais,ericknovais@nomeEmpresa.com,2021-11-10,Vendedor Interno
80170,da Paz,Brito,dabrito@nomeEmpresa.com,2009-08-18,Vendedor Externo
80171,Henrique Garcia,Montenegro,henriquemontenegro@nomeEmpresa.com,2010-09-30,Vendedor Interno
80172,da Mota,Caldeira,dacaldeira@nomeEmpresa.com,2018-02-24,Vendedor Externo
80173,Laura da,Ribeiro,lauraribeiro@nomeEmpresa.com,2012-05-24,Vendedor Interno
80174,Miguel das,Abreu,miguelabreu@nomeEmpresa.com,2021-06-03,Vendedor Externo
80175,Cecília Silveira,Azevedo,ceciliaazevedo@nomeEmpresa.com,2023-01-27,Vendedor Interno
80176,Otávio Camargo,Azevedo,otavioazevedo@nomeEmpresa.com,2023-05-27,Vendedor Externo
80177,Letícia Almeida,Gomes,almeidagomes@nomeEmpresa.com,2006-05-25,Telemarketing
80178,Henrique Azevedo,Freitas,henriquefreitas@nomeEmpresa.com,2008-09-03,Vendedor Externo
80179,Elisa Pires,Costela,pirescostela@nomeEmpresa.com,2011-07-22,Telemarketing
80180,Daniel Pinto,Almeida,pintoalmeida@nomeEmpresa.com,2006-06-06,Vendedor Interno
80181,Henrique das,Vieira,henriquevieira@nomeEmpresa.com,2020-02-17,Vendedor Externo
80182,Brenda Lopes,Campos,lopescampos@nomeEmpresa.com,2008-09-19,Vendedor Interno
80183,Maya Freitas,Vargas,freitasvargas@nomeEmpresa.com,2016-02-04,Vendedor Externo
80184,Mirella Cavalcanti,Martins,cavalcantimartins@nomeEmpresa.com,2016-03-27,Vendedor Interno
80185,Valentim Lima,Luz,limaluz@nomeEmpresa.com,2005-03-18,Promotor de Vendas
80186,Liz Barbosa,Carvalho,lizcarvalho@nomeEmpresa.com,2017-01-13,Vendedor Interno
80187,Melissa Fonseca,Freitas,fonsecafreitas@nomeEmpresa.com,2011-03-26,Vendedor Externo
80188,Stella Correia,Guerra,correiaguerra@nomeEmpresa.com,2016-09-13,Vendedor Interno
80189,Lucas Cirino,Oliveira,lucasoliveira@nomeEmpresa.com,2019-04-27,Vendedor Interno
80190,Miguel Silveira,Pinto,miguelpinto@nomeEmpresa.com,2022-09-28,Vendedor Interno
80191,Júlia Cardoso,Rios,cardosorios@nomeEmpresa.com,2015-04-22,Telemarketing
80192,Antônio Mendes,Novaes,mendesnovaes@nomeEmpresa.com,2010-05-22,Vendedor Externo
80193,Júlia Lopes,Costela,juliacostela@nomeEmpresa.com,2018-07-10,Vendedor Interno
80194,Luiz Henrique,Cunha,luizcunha@nomeEmpresa.com,2007-07-20,Vendedor Interno
80195,da Luz,Albuquerque,daalbuquerque@nomeEmpresa.com,2014-11-29,Telemarketing
80196,Heloísa Vasconcelos,Cunha,vasconceloscunha@nomeEmpresa.com,2022-04-27,Vendedor Interno
80197,Camila Pimenta,Vieira,pimentavieira@nomeEmpresa.com,2014-07-20,Promotor de Vendas
80198,Lunna Brito,Pacheco,britopacheco@nomeEmpresa.com,2015-10-29,Vendedor Interno
80199,Gustavo Novais,Lopes,novaislopes@nomeEmpresa.com,2007-08-18,Vendedor Externo
80200,Lucas Cirino,Cardoso,lucascardoso@nomeEmpresa.com,2007-02-20,Vendedor Externo
80201,Thales Rodrigues,Mota,rodriguesmota@nomeEmpresa.com,2022-07-02,Vendedor Interno
80202,Aurora Pires,Ribeiro,piresribeiro@nomeEmpresa.com,2023-05-13,Vendedor Interno
80203,Samuel Azevedo,Fonseca,azevedofonseca@nomeEmpresa.com,2015-11-14,Vendedor Interno
80204,Vinicius Nogueira,Vargas,viniciusvargas@nomeEmpresa.com,2013-10-15,Vendedor Interno
80205,da Cunha,Albuquerque,daalbuquerque@nomeEmpresa.com,2014-05-24,Telemarketing
80206,Emanuel Rezende,Farias,rezendefarias@nomeEmpresa.com,2016-05-01,Telemarketing
80207,Júlia Gomes,Rocha,gomesrocha@nomeEmpresa.com,2016-06-15,Vendedor Interno
80208,Nicolas Fernandes,Silva,nicolassilva@nomeEmpresa.com,2006-02-27,Telemarketing
80209,Antônio Montenegro,Moura,montenegromoura@nomeEmpresa.com,2019-04-25,Vendedor Interno
80210,Joaquim Peixoto,Souza,peixotosouza@nomeEmpresa.com,2018-08-13,Vendedor Interno
80211,da Costa,Albuquerque,daalbuquerque@nomeEmpresa.com,2020-07-27,Telemarketing
80212,Luísa Porto,Lopes,portolopes@nomeEmpresa.com,2021-11-07,Telemarketing
80213,Elisa Vasconcelos,Dias,vasconcelosdias@nomeEmpresa.com,2015-08-20,Vendedor Interno
80214,Henrique Melo,Caldeira,henriquecaldeira@nomeEmpresa.com,2007-05-05,Vendedor Interno
80215,Pedro Cunha,Nunes,pedronunes@nomeEmpresa.com,2009-07-12,Telemarketing
80216,Raquel Cirino,Câmara,raquelcamara@nomeEmpresa.com,2016-04-07,Vendedor Interno
80217,Caio Correia,Cavalcanti,correiacavalcanti@nomeEmpresa.com,2012-04-25,Telemarketing
80218,Lucas Cavalcanti,Ribeiro,lucasribeiro@nomeEmpresa.com,2020-10-21,Telemarketing
80219,Isaque Teixeira,Novais,teixeiranovais@nomeEmpresa.com,2005-05-16,Vendedor Externo
80220,Dante Marques,Pacheco,dantepacheco@nomeEmpresa.com,2006-11-01,Telemarketing
80221,Brayan Barros,Macedo,barrosmacedo@nomeEmpresa.com,2014-01-29,Telemarketing
80222,Yago Silva,Lopes,silvalopes@nomeEmpresa.com,2013-02-07,Vendedor Interno
80223,Calebe Nogueira,Oliveira,nogueiraoliveira@nomeEmpresa.com,2023-11-29,Vendedor Externo
80224,Paulo Melo,Correia,melocorreia@nomeEmpresa.com,2005-08-22,Telemarketing
80225,Antônio Campos,Pires,campospires@nomeEmpresa.com,2010-05-25,Vendedor Interno
80226,Marcela Sá,Rodrigues,sarodrigues@nomeEmpresa.com,2012-02-02,Vendedor Interno
80227,Calebe Moreira,Peixoto,moreirapeixoto@nomeEmpresa.com,2017-02-02,Vendedor Interno
80228,Gabriel Souza,Macedo,gabrielmacedo@nomeEmpresa.com,2008-02-25,Vendedor Externo
80229,Júlia Vasconcelos,Sousa,juliasousa@nomeEmpresa.com,2023-01-12,Vendedor Interno
80230,Bárbara Silveira,Carvalho,barbaracarvalho@nomeEmpresa.com,2007-10-05,Vendedor Interno
80231,Matteo Albuquerque,Andrade,albuquerqueandrade@nomeEmpresa.com,2022-11-15,Telemarketing
80232,Emanuelly Sampaio,Novaes,sampaionovaes@nomeEmpresa.com,2017-11-13,Vendedor Externo
80233,Guilherme Rodrigues,Farias,guilhermefarias@nomeEmpresa.com,2015-08-18,Vendedor Externo
80234,Vitor Sales,Albuquerque,vitoralbuquerque@nomeEmpresa.com,2021-06-15,Telemarketing
80235,Gabriel da,Camargo,gabrielcamargo@nomeEmpresa.com,2011-01-23,Vendedor Interno
80236,Emanuel Ribeiro,Vargas,ribeirovargas@nomeEmpresa.com,2009-09-14,Vendedor Externo
80237,Caleb Melo,Câmara,melocamara@nomeEmpresa.com,2010-01-02,Promotor de Vendas
80238,da Cruz,Rosa,darosa@nomeEmpresa.com,2014-02-13,Telemarketing
80239,Pedro Miguel,Mendonça,pedromendonca@nomeEmpresa.com,2017-09-25,Vendedor Externo
80240,Benicio Mendes,Nunes,mendesnunes@nomeEmpresa.com,2012-09-23,Vendedor Interno
80241,Beatriz Câmara,Fonseca,camarafonseca@nomeEmpresa.com,2017-01-25,Vendedor Interno
80242,Henrique Azevedo,Lima,henriquelima@nomeEmpresa.com,2024-06-08,Telemarketing
80243,Lucca Aparecida,Mota,luccamota@nomeEmpresa.com,2023-02-10,Telemarketing
80244,Vitória Camargo,Rosa,camargorosa@nomeEmpresa.com,2005-12-17,Promotor de Vendas
80245,Lucas Fogaça,Fonseca,lucasfonseca@nomeEmpresa.com,2014-07-07,Vendedor Interno
80246,Vitor Fonseca,Novaes,vitornovaes@nomeEmpresa.com,2011-07-22,Telemarketing
80247,Catarina Garcia,Monteiro,garciamonteiro@nomeEmpresa.com,2020-03-07,Vendedor Externo
80248,da Conceição,Conceição,daconceicao@nomeEmpresa.com,2005-04-15,Vendedor Interno
80249,Ana Liz,Machado,anamachado@nomeEmpresa.com,2013-02-19,Vendedor Interno
80250,Stella Oliveira,Pinto,oliveirapinto@nomeEmpresa.com,2015-05-13,Vendedor Externo
80251,Pietro Ribeiro,Mota,ribeiromota@nomeEmpresa.com,2015-06-11,Vendedor Externo
80252,Antônio Teixeira,Luz,antonioluz@nomeEmpresa.com,2022-03-08,Vendedor Interno
80253,Lucca Sales,Peixoto,luccapeixoto@nomeEmpresa.com,2014-03-12,Vendedor Interno
80254,Thiago Peixoto,Cunha,thiagocunha@nomeEmpresa.com,2016-09-18,Vendedor Interno
80255,Benjamin Martins,Vieira,benjaminvieira@nomeEmpresa.com,2018-12-02,Telemarketing
80256,Liz Garcia,Melo,lizmelo@nomeEmpresa.com,2006-03-16,Telemarketing
80257,Emilly Souza,Nogueira,souzanogueira@nomeEmpresa.com,2014-09-10,Promotor de Vendas
80258,João Vitor,Cruz,joaocruz@nomeEmpresa.com,2020-12-18,Telemarketing
80259,Marcela Moura,Teixeira,mourateixeira@nomeEmpresa.com,2024-08-31,Telemarketing
80260,Vinícius Dias,Teixeira,diasteixeira@nomeEmpresa.com,2010-09-28,Telemarketing
80261,Heloísa Ribeiro,Rios,heloisarios@nomeEmpresa.com,2008-07-08,Promotor de Vendas
80262,Bento Andrade,Moreira,andrademoreira@nomeEmpresa.com,2015-10-25,Telemarketing
80263,Luna Sampaio,Brito,sampaiobrito@nomeEmpresa.com,2010-07-25,Vendedor Interno
80264,Gustavo Sá,Macedo,gustavomacedo@nomeEmpresa.com,2007-01-09,Telemarketing
80265,Raquel Camargo,Correia,camargocorreia@nomeEmpresa.com,2010-01-05,Telemarketing
80266,Anna Liz,Moura,annamoura@nomeEmpresa.com,2004-02-01,Telemarketing
80267,Lucas Lima,Sousa,lucassousa@nomeEmpresa.com,2019-06-14,Vendedor Interno
80268,Flor Barbosa,Pereira,florpereira@nomeEmpresa.com,2018-09-22,Vendedor Interno
80269,Gabriel Cavalcanti,Correia,gabrielcorreia@nomeEmpresa.com,2004-04-14,Vendedor Interno
80270,Ravi Lucca,Ribeiro,raviribeiro@nomeEmpresa.com,2011-03-24,Vendedor Interno
80271,Murilo Vieira,Silveira,murilosilveira@nomeEmpresa.com,2012-05-01,Promotor de Vendas
80272,Liz Cirino,Rocha,lizrocha@nomeEmpresa.com,2021-05-22,Promotor de Vendas
80273,André Lima,Rodrigues,limarodrigues@nomeEmpresa.com,2017-05-05,Vendedor Interno
80274,Felipe da,Conceição,felipeconceicao@nomeEmpresa.com,2017-10-17,Vendedor Externo
